"COU","Country","DESIG","Designation","DOMAIN","Domain","MEASURE","Measure","CALCULATION","Calculation method","SCOPE","Scope","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2019","2019","PC","Percentage","0","Units",,,15.36,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2020","2020","PC","Percentage","0","Units",,,15.393,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2021","2021","PC","Percentage","0","Units",,,15.474,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2022","2022","PC","Percentage","0","Units",,,15.476,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1950","1950","PC","Percentage","0","Units",,,2.334,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1960","1960","PC","Percentage","0","Units",,,2.519,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1970","1970","PC","Percentage","0","Units",,,3.658,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1980","1980","PC","Percentage","0","Units",,,4.65,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1990","1990","PC","Percentage","0","Units",,,5.784,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2000","2000","PC","Percentage","0","Units",,,7.483,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2010","2010","PC","Percentage","0","Units",,,9.851,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2015","2015","PC","Percentage","0","Units",,,10.892,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2016","2016","PC","Percentage","0","Units",,,10.935,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2017","2017","PC","Percentage","0","Units",,,10.997,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2018","2018","PC","Percentage","0","Units",,,11.448,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2019","2019","PC","Percentage","0","Units",,,11.743,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2020","2020","PC","Percentage","0","Units",,,12.615,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2021","2021","PC","Percentage","0","Units",,,12.697,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2022","2022","PC","Percentage","0","Units",,,12.697,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1950","1950","PC","Percentage","0","Units",,,0.146,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1960","1960","PC","Percentage","0","Units",,,0.688,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1970","1970","PC","Percentage","0","Units",,,4.975,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1980","1980","PC","Percentage","0","Units",,,11.652,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1990","1990","PC","Percentage","0","Units",,,13.333,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2000","2000","PC","Percentage","0","Units",,,15.504,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2010","2010","PC","Percentage","0","Units",,,19.664,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2015","2015","PC","Percentage","0","Units",,,20.53,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2016","2016","PC","Percentage","0","Units",,,20.711,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2017","2017","PC","Percentage","0","Units",,,21.284,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2018","2018","PC","Percentage","0","Units",,,21.705,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2019","2019","PC","Percentage","0","Units",,,21.729,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2020","2020","PC","Percentage","0","Units",,,21.754,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2021","2021","PC","Percentage","0","Units",,,21.755,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2022","2022","PC","Percentage","0","Units",,,21.755,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1950","1950","PC","Percentage","0","Units",,,0.201,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1960","1960","PC","Percentage","0","Units",,,0.394,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1970","1970","PC","Percentage","0","Units",,,0.569,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1980","1980","PC","Percentage","0","Units",,,4.005,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1990","1990","PC","Percentage","0","Units",,,7.602,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2000","2000","PC","Percentage","0","Units",,,14.385,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2010","2010","PC","Percentage","0","Units",,,14.769,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2015","2015","PC","Percentage","0","Units",,,15.515,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2016","2016","PC","Percentage","0","Units",,,15.528,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2017","2017","PC","Percentage","0","Units",,,15.532,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2018","2018","PC","Percentage","0","Units",,,15.532,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2019","2019","PC","Percentage","0","Units",,,15.532,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2020","2020","PC","Percentage","0","Units",,,15.532,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2021","2021","PC","Percentage","0","Units",,,15.532,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2022","2022","PC","Percentage","0","Units",,,15.532,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1950","1950","PC","Percentage","0","Units",,,0.027,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1960","1960","PC","Percentage","0","Units",,,1.369,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1970","1970","PC","Percentage","0","Units",,,1.372,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1980","1980","PC","Percentage","0","Units",,,1.62,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1990","1990","PC","Percentage","0","Units",,,4.056,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2000","2000","PC","Percentage","0","Units",,,10.093,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2010","2010","PC","Percentage","0","Units",,,10.712,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2015","2015","PC","Percentage","0","Units",,,13.05,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2016","2016","PC","Percentage","0","Units",,,13.061,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2017","2017","PC","Percentage","0","Units",,,13.19,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2018","2018","PC","Percentage","0","Units",,,13.205,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2019","2019","PC","Percentage","0","Units",,,13.23,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2020","2020","PC","Percentage","0","Units",,,13.252,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2021","2021","PC","Percentage","0","Units",,,13.316,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2022","2022","PC","Percentage","0","Units",,,13.317,,
"FRA","France","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1950","1950","PC","Percentage","0","Units",,,0.059,,
"FRA","France","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1960","1960","PC","Percentage","0","Units",,,0.068,,
"FRA","France","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1970","1970","PC","Percentage","0","Units",,,3.27,,
"FRA","France","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1980","1980","PC","Percentage","0","Units",,,8.155,,
"FRA","France","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","1990","1990","PC","Percentage","0","Units",,,10.842,,
"FRA","France","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2000","2000","PC","Percentage","0","Units",,,14.932,,
"FRA","France","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2010","2010","PC","Percentage","0","Units",,,19.952,,
"FRA","France","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2015","2015","PC","Percentage","0","Units",,,23.349,,
"FRA","France","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","ERASED","Erased against precedent categories ","COUNTRY","Country","2016","2016","PC","Percentage","0","Units",,,23.934,,
